epoch,loss,next_shot_distribution_loss,next_shot_distribution_next_shot_accuracy,next_shot_distribution_next_shot_top3_accuracy,val_loss,val_next_shot_distribution_loss,val_next_shot_distribution_next_shot_accuracy,val_next_shot_distribution_next_shot_top3_accuracy,val_win_probability_accuracy,val_win_probability_auc,val_win_probability_loss,win_probability_accuracy,win_probability_auc,win_probability_loss
1,0.10779960453510284,0.18196220695972443,0.2063492089509964,0.5008818507194519,0.13132676482200623,0.23547081649303436,0.269565224647522,0.582608699798584,0.043478261679410934,0.7318181991577148,0.05169280618429184,0.0634920671582222,0.41581830382347107,0.04399556666612625
2,0.10613992065191269,0.1752638965845108,0.21869488060474396,0.5802469253540039,0.12515103816986084,0.21630960702896118,0.269565224647522,0.5652173757553101,0.043478261679410934,0.692727267742157,0.052045878022909164,0.03350970149040222,0.4429984986782074,0.0446738600730896
3,0.10150738805532455,0.1618080884218216,0.21869488060474396,0.5784832239151001,0.12004687637090683,0.20341414213180542,0.269565224647522,0.6086956262588501,0.043478261679410934,0.6899999380111694,0.051210008561611176,0.03350970149040222,0.4898674488067627,0.04475273936986923
4,0.09887635707855225,0.15600822865962982,0.21869488060474396,0.5908288955688477,0.11736217886209488,0.19413241744041443,0.269565224647522,0.591304361820221,0.043478261679410934,0.6772726774215698,0.05147004872560501,0.03350970149040222,0.508499801158905,0.044154729694128036
5,0.09750521928071976,0.15202900767326355,0.21869488060474396,0.5696648955345154,0.11508088558912277,0.18761220574378967,0.269565224647522,0.5652173757553101,0.043478261679410934,0.7345454692840576,0.05124158784747124,0.03350970149040222,0.48813873529434204,0.04417834058403969
6,0.09617815911769867,0.14958089590072632,0.22398589551448822,0.5679012537002563,0.11461447924375534,0.1832878291606903,0.269565224647522,0.5565217137336731,0.30434781312942505,0.5054545402526855,0.05210833251476288,0.13932980597019196,0.5694391131401062,0.04371015727519989
7,0.09502977877855301,0.14766351878643036,0.23280423879623413,0.5679012537002563,0.11436755210161209,0.18032947182655334,0.2347826063632965,0.5565217137336731,0.539130449295044,0.4563636779785156,0.052767667919397354,0.4038800597190857,0.5738570690155029,0.04323500767350197
8,0.09369722753763199,0.1462833732366562,0.2451499104499817,0.5731922388076782,0.11461338400840759,0.17798522114753723,0.2347826063632965,0.5565217137336731,0.626086950302124,0.5154545307159424,0.05372103303670883,0.5379188656806946,0.6063196659088135,0.042388319969177246
9,0.09149616956710815,0.14507217705249786,0.2469135820865631,0.5749558806419373,0.11735008656978607,0.17585203051567078,0.260869562625885,0.573913037776947,0.747826099395752,0.45818182826042175,0.0570296049118042,0.6172839403152466,0.6465137004852295,0.040617045015096664
10,0.08861320465803146,0.1442660242319107,0.23456789553165436,0.5731922388076782,0.11510158330202103,0.17433014512062073,0.2347826063632965,0.573913037776947,0.7652173638343811,0.5327272415161133,0.055325910449028015,0.763668417930603,0.6428639888763428,0.03802260383963585
11,0.08545848727226257,0.1435382068157196,0.2469135820865631,0.5643739104270935,0.12339320778846741,0.17301790416240692,0.22608695924282074,0.6000000238418579,0.7565217614173889,0.5454545617103577,0.06364886462688446,0.7389770746231079,0.6625047922134399,0.03512892499566078
12,0.08221200108528137,0.14263899624347687,0.23985891044139862,0.5731922388076782,0.13537180423736572,0.17347151041030884,0.269565224647522,0.539130449295044,0.739130437374115,0.5381818413734436,0.07488417625427246,0.631393313407898,0.6744621396064758,0.032202545553445816
13,0.08183716982603073,0.14278432726860046,0.2380952388048172,0.5679012537002563,0.1530836969614029,0.17422816157341003,0.25217390060424805,0.591304361820221,0.634782612323761,0.5,0.09139703214168549,0.5573192238807678,0.7100940942764282,0.03178291395306587
14,0.08326731622219086,0.1416691392660141,0.2451499104499817,0.5873016119003296,0.13840685784816742,0.17080163955688477,0.22608695924282074,0.5652173757553101,0.7043478488922119,0.4572727084159851,0.07848707586526871,0.5396825671195984,0.6732616424560547,0.033592477440834045
15,0.07703728973865509,0.13985644280910492,0.25925925374031067,0.5961199402809143,0.1770198494195938,0.1708744615316391,0.22608695924282074,0.573913037776947,0.6695652008056641,0.4954545497894287,0.11538562178611755,0.4038800597190857,0.7209949493408203,0.02800999954342842
