strategy_cluster,rallies,wins,avg_attack_ratio,avg_defense_ratio,avg_neutral_ratio,avg_sequence_model_probability,win_rate,strategy_cluster_name
2,26,12.0,0.1987,0.3685,0.3297,0.4996,0.4615,Balanced
0,19,11.0,0.2016,0.3612,0.395,0.502,0.5789,Aggressive
1,16,10.0,0.1917,0.4166,0.1502,0.51,0.625,Defensive
