epoch,loss,next_shot_distribution_loss,next_shot_distribution_next_shot_accuracy,next_shot_distribution_next_shot_top3_accuracy,val_loss,val_next_shot_distribution_loss,val_next_shot_distribution_next_shot_accuracy,val_next_shot_distribution_next_shot_top3_accuracy,val_win_probability_accuracy,val_win_probability_auc,val_win_probability_loss,win_probability_accuracy,win_probability_auc,win_probability_loss
1,0.10757719725370407,0.1806732565164566,0.20458553731441498,0.4691357910633087,0.12987127900123596,0.23037458956241608,0.269565224647522,0.5652173757553101,0.27826085686683655,0.642727255821228,0.05187691003084183,0.47971782088279724,0.38172298669815063,0.044222842901945114
2,0.10360585153102875,0.16755138337612152,0.21869488060474396,0.5608465671539307,0.12063353508710861,0.20160359144210815,0.269565224647522,0.5652173757553101,0.40869563817977905,0.6463636159896851,0.05205835774540901,0.3262786567211151,0.4239819645881653,0.04483869671821594
3,0.09921791404485703,0.15572160482406616,0.21869488060474396,0.5590828657150269,0.11723300069570541,0.18970607221126556,0.2347826063632965,0.5652173757553101,0.6000000238418579,0.5381817817687988,0.052416857331991196,0.5379188656806946,0.4458797574043274,0.04459575191140175
4,0.09726811200380325,0.15152624249458313,0.24162258207798004,0.5696648955345154,0.1156974658370018,0.1840721070766449,0.208695650100708,0.573913037776947,0.591304361820221,0.5099999904632568,0.05266324430704117,0.4991181790828705,0.5021129250526428,0.044117167592048645
5,0.09611573815345764,0.1492028534412384,0.24867725372314453,0.5626102089881897,0.11530671268701553,0.18047653138637543,0.21739129722118378,0.5565217137336731,0.582608699798584,0.5236363410949707,0.053386908024549484,0.48677247762680054,0.5566654205322266,0.04377976432442665
6,0.0950760766863823,0.14769414067268372,0.2610229253768921,0.5679012537002563,0.11527597904205322,0.1782325655221939,0.21739129722118378,0.582608699798584,0.6000000238418579,0.49454545974731445,0.05404016003012657,0.5185185074806213,0.6025259494781494,0.04327026754617691
7,0.09356406331062317,0.14656472206115723,0.25925925374031067,0.5767195820808411,0.11492734402418137,0.1761825829744339,0.20000000298023224,0.573913037776947,0.626086950302124,0.5263636112213135,0.05432979017496109,0.6613756418228149,0.6632731556892395,0.042156487703323364
8,0.09169995039701462,0.14544855058193207,0.25749558210372925,0.5784832239151001,0.11494094133377075,0.17475636303424835,0.2347826063632965,0.573913037776947,0.7043478488922119,0.589090883731842,0.054815344512462616,0.6560846567153931,0.7023626565933228,0.040687061846256256
9,0.08939359337091446,0.1445162296295166,0.2716049253940582,0.5837742686271667,0.1148623526096344,0.17370544373989105,0.21739129722118378,0.5565217137336731,0.7565217614173889,0.610909104347229,0.05507109314203262,0.6860670447349548,0.7325201630592346,0.03871150687336922
10,0.08692236989736557,0.14395517110824585,0.26631394028663635,0.5802469253540039,0.11683417856693268,0.1730373203754425,0.21739129722118378,0.582608699798584,0.6173912882804871,0.5890909433364868,0.05717495456337929,0.6913580298423767,0.7420764565467834,0.03644134849309921
11,0.08393725752830505,0.1433171182870865,0.25749558210372925,0.5873016119003296,0.12477244436740875,0.17249540984630585,0.24347825348377228,0.5565217137336731,0.626086950302124,0.5090909004211426,0.06500101834535599,0.6913580298423767,0.7465424537658691,0.03368280455470085
12,0.07998541742563248,0.14257076382637024,0.26455026865005493,0.5820105671882629,0.152782142162323,0.17242366075515747,0.22608695924282074,0.52173912525177,0.6521739363670349,0.42363637685775757,0.09190861135721207,0.6208112835884094,0.7494717240333557,0.02999788336455822
13,0.07845597714185715,0.14186140894889832,0.2539682686328888,0.5731922388076782,0.14777418971061707,0.17291924357414246,0.208695650100708,0.5478261113166809,0.5478261113166809,0.5218181610107422,0.0869980901479721,0.5414462089538574,0.7109104990959167,0.028717508539557457
14,0.07725917547941208,0.14102859795093536,0.25749558210372925,0.5837742686271667,0.17651525139808655,0.17344863712787628,0.2347826063632965,0.5565217137336731,0.678260862827301,0.4654545485973358,0.11441455781459808,0.5132275223731995,0.7761237025260925,0.027816344052553177
15,0.0755971372127533,0.14079007506370544,0.27513226866722107,0.5661375522613525,0.17785833775997162,0.17301851511001587,0.21739129722118378,0.530434787273407,0.6695652008056641,0.46181821823120117,0.11576810479164124,0.5343915224075317,0.7666634321212769,0.026240790262818336
16,0.07371269911527634,0.13978450000286102,0.25749558210372925,0.5679012537002563,0.17551448941230774,0.17187157273292542,0.208695650100708,0.582608699798584,0.5565217137336731,0.5281818509101868,0.11368130147457123,0.5114638209342957,0.7556664943695068,0.024711208418011665
17,0.07209458947181702,0.13878396153450012,0.2557319104671478,0.5837742686271667,0.20928366482257843,0.17200906574726105,0.21739129722118378,0.582608699798584,0.7217391133308411,0.46272724866867065,0.14604398608207703,0.4832451641559601,0.7633019089698792,0.023445961996912956
